ID,answer
BC_B_J_20230304,2663.3132
BC_B_S_20230304,75.89066
BC_C_J_20230304,2583.1797
BC_A_S_20230304,2964.8066
BC_D_J_20230304,2975.9658
BC_E_J_20230304,2951.483
BC_E_S_20230304,2969.026
BC_C_S_20230304,121.54023
CR_A_J_20230304,772.1195
BC_A_J_20230304,2910.103
CR_B_J_20230304,152.61955
CB_A_S_20230304,729.47784
CB_E_J_20230304,100.98216
CB_A_J_20230304,581.39685
RD_A_J_20230304,434.73746
CR_E_S_20230304,0
RD_A_S_20230304,482.65842
CR_E_J_20230304,342.28754
RD_C_S_20230304,42.49578
CR_D_S_20230304,55.022945
RD_D_J_20230304,396.46634
RD_D_S_20230304,477.8594
CR_D_J_20230304,802.57654
RD_E_J_20230304,210.51569
CR_C_J_20230304,601.3048
RD_E_S_20230304,61.697437
CB_F_J_20230304,568.1621
CB_D_J_20230304,606.22565
RD_F_J_20230304,422.08786
RD_F_J_20230305,26.03233
BC_C_J_20230305,99.65825
BC_C_S_20230305,24.733866
RD_A_J_20230305,0
CR_A_J_20230305,134.44359
CB_A_J_20230305,15.650099
BC_D_J_20230305,65.84413
BC_E_J_20230305,89.67454
CB_E_J_20230305,0
CR_E_S_20230305,0
BC_B_S_20230305,26.942322
CR_D_J_20230305,0
RD_E_J_20230305,0
CR_C_J_20230305,0
RD_E_S_20230305,0
RD_D_J_20230305,30.251928
CR_D_S_20230305,0
CR_B_J_20230305,0
BC_A_J_20230305,39.768463
RD_C_S_20230305,62.736206
BC_A_S_20230305,63.429153
CB_D_J_20230305,144.65549
CR_E_J_20230305,0
BC_B_J_20230305,125.760765
RD_A_S_20230305,38.586044
BC_E_S_20230305,102.85344
RD_D_S_20230305,37.96541
CB_F_J_20230305,34.70413
CB_A_S_20230305,662.7105
RD_D_J_20230306,373.55783
CR_E_J_20230306,2052.9434
BC_E_J_20230306,2661.4849
BC_A_J_20230306,2709.1936
RD_E_J_20230306,527.70215
BC_B_S_20230306,507.49155
RD_F_J_20230306,513.1963
BC_B_J_20230306,2659.4578
CB_F_J_20230306,693.3558
CR_E_S_20230306,28.694128
RD_E_S_20230306,285.40344
CR_D_S_20230306,45.17732
CB_A_J_20230306,1449.8406
BC_C_J_20230306,2261.6003
CR_B_J_20230306,1146.1049
RD_D_S_20230306,493.5553
CR_C_J_20230306,2109.2822
BC_D_J_20230306,2644.5298
RD_A_J_20230306,954.03296
BC_C_S_20230306,1060.1725
RD_C_S_20230306,79.83426
RD_A_S_20230306,400.92987
CR_D_J_20230306,2108.1667
BC_E_S_20230306,2935.137
CB_A_S_20230306,700.2078
CB_E_J_20230306,407.57217
CR_A_J_20230306,2340.7173
BC_A_S_20230306,2765.649
CB_D_J_20230306,671.0644
BC_A_S_20230307,2997.8074
CB_A_J_20230307,1125.5039
RD_C_S_20230307,201.45853
RD_E_S_20230307,460.57812
CR_E_J_20230307,2024.7458
CR_A_J_20230307,2126.0364
BC_C_S_20230307,294.87405
BC_A_J_20230307,2955.9634
RD_A_J_20230307,790.48956
BC_C_J_20230307,2348.8462
CB_F_J_20230307,597.9105
RD_F_J_20230307,457.22083
CR_D_S_20230307,63.714737
BC_B_S_20230307,932.5724
BC_E_S_20230307,3085.3376
RD_D_S_20230307,549.07715
RD_A_S_20230307,479.02448
CR_D_J_20230307,2046.6611
CB_E_J_20230307,340.07315
CB_D_J_20230307,532.34106
BC_D_J_20230307,2925.758
BC_E_J_20230307,3042.5044
CR_C_J_20230307,1464.7518
RD_E_J_20230307,354.77713
CR_B_J_20230307,289.27927
BC_B_J_20230307,2748.689
CR_E_S_20230307,66.90393
CB_A_S_20230307,694.6336
RD_D_J_20230307,323.3465
CR_E_S_20230308,0
BC_B_S_20230308,141.48016
RD_A_S_20230308,451.93484
RD_F_J_20230308,461.2675
CR_E_J_20230308,2020.7849
BC_B_J_20230308,2653.833
BC_C_J_20230308,2412.299
CB_D_J_20230308,533.5836
CB_A_S_20230308,676.2749
CR_C_J_20230308,1707.4391
RD_D_J_20230308,326.32504
CB_F_J_20230308,602.633
CB_A_J_20230308,1131.8403
CR_B_J_20230308,262.9827
BC_D_J_20230308,2927.0798
RD_E_S_20230308,284.3538
CB_E_J_20230308,364.6464
RD_E_J_20230308,352.95276
BC_E_J_20230308,3054.7156
CR_D_S_20230308,4.141724
BC_A_S_20230308,3010.6738
CR_A_J_20230308,2124.6736
RD_A_J_20230308,789.2855
BC_A_J_20230308,2958.654
CR_D_J_20230308,2040.1237
RD_D_S_20230308,485.09332
BC_E_S_20230308,3044.9165
BC_C_S_20230308,96.25955
RD_C_S_20230308,86.78214
RD_D_S_20230309,518.3415
RD_A_S_20230309,475.2981
CR_C_J_20230309,1676.0219
CR_D_J_20230309,2080.349
CB_F_J_20230309,631.37585
RD_E_J_20230309,362.17194
RD_D_J_20230309,383.11435
CR_B_J_20230309,302.71994
